antecedents,consequents,support,confidence,lift
"frozenset({'leite integral', 'sabonete'})","frozenset({'carvao', 'cafe', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe', 'presunto'})","frozenset({'leite integral', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'sabonete', 'presunto'})","frozenset({'carvao', 'leite integral'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'sabonete', 'presunto'})","frozenset({'cafe', 'leite integral'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe', 'sabonete'})","frozenset({'leite integral', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral', 'presunto'})","frozenset({'carvao', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'leite integral', 'presunto'})","frozenset({'cafe', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe', 'leite integral'})","frozenset({'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'leite integral', 'sabonete', 'presunto'})","frozenset({'carvao', 'cafe'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral', 'sabonete'})","frozenset({'carvao', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'leite integral', 'sabonete'})","frozenset({'cafe', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe', 'sabonete', 'presunto'})",frozenset({'leite integral'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe', 'leite integral', 'presunto'})",frozenset({'sabonete'}),0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral', 'sabonete', 'presunto'})",frozenset({'carvao'}),0.14285714285714285,1.0,7.0
frozenset({'detergente'}),frozenset({'molho de tomate'}),0.14285714285714285,1.0,7.0
frozenset({'molho de tomate'}),frozenset({'detergente'}),0.14285714285714285,1.0,7.0
frozenset({'vinho'}),frozenset({'molho de tomate'}),0.14285714285714285,1.0,7.0
frozenset({'molho de tomate'}),frozenset({'vinho'}),0.14285714285714285,1.0,7.0
frozenset({'presunto'}),"frozenset({'carvao', 'cafe', 'leite integral', 'sabonete'})",0.14285714285714285,1.0,7.0
frozenset({'cafe'}),"frozenset({'carvao', 'leite integral', 'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
frozenset({'carvao'}),"frozenset({'cafe', 'leite integral', 'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
frozenset({'sabonete'}),"frozenset({'carvao', 'cafe', 'leite integral', 'presunto'})",0.14285714285714285,1.0,7.0
frozenset({'leite integral'}),"frozenset({'carvao', 'cafe', 'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'presunto'})","frozenset({'carvao', 'leite integral', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'presunto'})","frozenset({'cafe', 'leite integral', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe'})","frozenset({'leite integral', 'sabonete', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'sabonete', 'presunto'})","frozenset({'carvao', 'cafe', 'leite integral'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'sabonete'})","frozenset({'carvao', 'leite integral', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'sabonete'})","frozenset({'cafe', 'leite integral', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'leite integral', 'presunto'})","frozenset({'carvao', 'cafe', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'agua mineral'})",frozenset({'detergente'}),0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'detergente'})",frozenset({'agua mineral'}),0.14285714285714285,1.0,7.0
frozenset({'vinho'}),frozenset({'agua mineral'}),0.14285714285714285,1.0,7.0
frozenset({'agua mineral'}),frozenset({'vinho'}),0.14285714285714285,1.0,7.0
frozenset({'agua mineral'}),frozenset({'molho de tomate'}),0.14285714285714285,1.0,7.0
frozenset({'molho de tomate'}),frozenset({'agua mineral'}),0.14285714285714285,1.0,7.0
frozenset({'agua mineral'}),frozenset({'detergente'}),0.14285714285714285,1.0,7.0
frozenset({'detergente'}),frozenset({'agua mineral'}),0.14285714285714285,1.0,7.0
frozenset({'vinho'}),"frozenset({'molho de tomate', 'detergente'})",0.14285714285714285,1.0,7.0
frozenset({'detergente'}),"frozenset({'molho de tomate', 'vinho'})",0.14285714285714285,1.0,7.0
frozenset({'molho de tomate'}),"frozenset({'detergente', 'vinho'})",0.14285714285714285,1.0,7.0
"frozenset({'detergente', 'vinho'})",frozenset({'molho de tomate'}),0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'vinho'})",frozenset({'detergente'}),0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'detergente'})",frozenset({'vinho'}),0.14285714285714285,1.0,7.0
frozenset({'vinho'}),frozenset({'detergente'}),0.14285714285714285,1.0,7.0
frozenset({'detergente'}),frozenset({'vinho'}),0.14285714285714285,1.0,7.0
frozenset({'vinho'}),"frozenset({'molho de tomate', 'agua mineral'})",0.14285714285714285,1.0,7.0
frozenset({'agua mineral'}),"frozenset({'molho de tomate', 'vinho'})",0.14285714285714285,1.0,7.0
frozenset({'molho de tomate'}),"frozenset({'agua mineral', 'vinho'})",0.14285714285714285,1.0,7.0
"frozenset({'agua mineral', 'vinho'})",frozenset({'molho de tomate'}),0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'vinho'})",frozenset({'agua mineral'}),0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'agua mineral'})",frozenset({'vinho'}),0.14285714285714285,1.0,7.0
frozenset({'vinho'}),"frozenset({'detergente', 'agua mineral'})",0.14285714285714285,1.0,7.0
frozenset({'agua mineral'}),"frozenset({'detergente', 'vinho'})",0.14285714285714285,1.0,7.0
